20916,1729,505,485,1623,2282,2531,688,2499,2
14277,571,385,242,556,1213,582,318,1139,1
22531,1217,747,274,1612,962,485,226,754,0
28564,1946,561,338,1869,767,387,235,738,2
17199,2255,605,258,2313,1161,328,242,1150,0
17444,1630,391,368,1535,960,994,241,1248,0
13085,1470,254,231,1246,1316,564,366,1436,0
17564,1192,379,232,1414,1262,597,346,1564,1
23607,2520,826,304,2210,1447,334,251,1072,0
56512,2282,2531,688,2499,1946,561,338,1869,0
11896,1316,564,366,1436,571,385,242,556,2
40266,960,994,241,1248,1217,747,274,1612,0
13054,1213,582,318,1139,2255,605,258,2313,0
22454,1262,597,346,1564,2520,826,304,2210,1
7921,1447,334,251,1072,1630,391,368,1535,1
12040,767,387,235,738,1470,254,231,1246,2
17043,962,485,226,754,1192,379,232,1414,2
30561,1161,328,242,1150,1729,505,485,1623,1
10560,1946,561,338,1869,1447,334,251,1072,2
19011,1217,747,274,1612,1213,582,318,1139,1
16742,1192,379,232,1414,2282,2531,688,2499,1
9368,1470,254,231,1246,960,994,241,1248,1
9082,571,385,242,556,1630,391,368,1535,0
22651,2255,605,258,2313,1262,597,346,1564,2
8567,1316,564,366,1436,767,387,235,738,2
19307,2520,826,304,2210,1161,328,242,1150,0
8388,1729,505,485,1623,962,485,226,754,1
14815,1262,597,346,1564,571,385,242,556,0
8585,767,387,235,738,2255,605,258,2313,1
37585,960,994,241,1248,1946,561,338,1869,1
43815,2282,2531,688,2499,1161,328,242,1150,0
12114,1213,582,318,1139,1316,564,366,1436,1
17341,962,485,226,754,2520,826,304,2210,1
14191,1630,391,368,1535,1217,747,274,1612,2
5556,1447,334,251,1072,1192,379,232,1414,2
7354,1470,254,231,1246,1213,582,318,1139,0
9442,1161,328,242,1150,960,994,241,1248,0
11835,1946,561,338,1869,1630,391,368,1535,1
13067,1192,379,232,1414,1729,505,485,1623,1
50572,2520,826,304,2210,2282,2531,688,2499,1
8604,571,385,242,556,767,387,235,738,2
16546,1316,564,366,1436,1262,597,346,1564,1
11878,2255,605,258,2313,962,485,226,754,1
17033,1217,747,274,1612,1447,334,251,1072,0
9019,1729,505,485,1623,1470,254,231,1246,0
20977,2520,826,304,2210,1217,747,274,1612,2
6282,1161,328,242,1150,571,385,242,556,1
10661,1213,582,318,1139,1729,505,485,1623,1
3670,1447,334,251,1072,767,387,235,738,0
10316,1630,391,368,1535,1316,564,366,1436,2
11747,1262,597,346,1564,1470,254,231,1246,0
34071,960,994,241,1248,1192,379,232,1414,2
17406,962,485,226,754,1946,561,338,1869,1
44625,2282,2531,688,2499,2255,605,258,2313,2
14599,571,385,242,556,960,994,241,1248,1
8770,1316,564,366,1436,1161,328,242,1150,0
15311,2255,605,258,2313,1447,334,251,1072,2
7418,1192,379,232,1414,1630,391,368,1535,1
8370,1470,254,231,1246,2520,826,304,2210,0
24214,1217,747,274,1612,1946,561,338,1869,0
17967,1729,505,485,1623,1262,597,346,1564,0
10039,1213,582,318,1139,962,485,226,754,0
21545,767,387,235,738,2282,2531,688,2499,1
12361,1262,597,346,1564,1213,582,318,1139,0
10421,1161,328,242,1150,767,387,235,738,2
15138,962,485,226,754,571,385,242,556,0
40657,2282,2531,688,2499,1447,334,251,1072,0
39322,960,994,241,1248,2255,605,258,2313,0
21190,1217,747,274,1612,1316,564,366,1436,1
28885,2520,826,304,2210,1729,505,485,1623,1
11788,1946,561,338,1869,1192,379,232,1414,0
11149,1630,391,368,1535,1470,254,231,1246,0
11810,2255,605,258,2313,1630,391,368,1535,1
15103,1729,505,485,1623,1217,747,274,1612,0
6162,1470,254,231,1246,962,485,226,754,2
12295,1447,334,251,1072,1262,597,346,1564,1
6794,1192,379,232,1414,1161,328,242,1150,2
15184,1316,564,366,1436,1946,561,338,1869,2
23406,1213,582,318,1139,2282,2531,688,2499,0
14615,571,385,242,556,2520,826,304,2210,0
8667,767,387,235,738,960,994,241,1248,0
13450,1262,597,346,1564,767,387,235,738,0
13300,1630,391,368,1535,1213,582,318,1139,2
20268,1161,328,242,1150,1447,334,251,1072,2
54774,2282,2531,688,2499,1470,254,231,1246,0
20543,962,485,226,754,1316,564,366,1436,1
20232,2520,826,304,2210,1192,379,232,1414,0
22188,1217,747,274,1612,2255,605,258,2313,0
14642,1946,561,338,1869,571,385,242,556,0
41430,960,994,241,1248,1729,505,485,1623,0
15427,571,385,242,556,1217,747,274,1612,1
11101,767,387,235,738,1630,391,368,1535,1
22948,1262,597,346,1564,962,485,226,754,1
18241,1213,582,318,1139,1161,328,242,1150,0
11221,1447,334,251,1072,960,994,241,1248,2
17438,1316,564,366,1436,2282,2531,688,2499,0
9031,1470,254,231,1246,1192,379,232,1414,1
25687,2255,605,258,2313,2520,826,304,2210,2
25128,1217,747,274,1612,1470,254,231,1246,1
32073,2520,826,304,2210,1316,564,366,1436,2
36376,1946,561,338,1869,2255,605,258,2313,2
21874,962,485,226,754,1447,334,251,1072,0
12466,1192,379,232,1414,767,387,235,738,0
42056,960,994,241,1248,1213,582,318,1139,0
18193,1729,505,485,1623,571,385,242,556,0
56982,2282,2531,688,2499,1262,597,346,1564,0
9430,1630,391,368,1535,1161,328,242,1150,0
15343,1729,505,485,1623,1946,561,338,1869,2
6806,1161,328,242,1150,962,485,226,754,1
6760,2255,605,258,2313,1192,379,232,1414,1
10183,1213,582,318,1139,2520,826,304,2210,0
7427,1262,597,346,1564,1630,391,368,1535,1
5806,1470,254,231,1246,1946,561,338,1869,0
15322,1316,564,366,1436,1729,505,485,1623,1
8025,571,385,242,556,1447,334,251,1072,0
38592,960,994,241,1248,2282,2531,688,2499,0
12142,767,387,235,738,1217,747,274,1612,2
17070,1217,747,274,1612,1262,597,346,1564,1
