score_win,score_lose,num,label
1,2,15277,0
2,1,15277,1
1,0,48937,1
0,1,48937,0
1,2,12730,0
2,1,12730,1
2,0,11503,1
0,2,11503,0
1,0,10071,1
0,1,10071,0
5,1,10044,1
1,5,10044,0
2,0,13991,1
0,2,13991,0
1,0,13990,1
0,1,13990,0
5,1,50843,1
1,5,50843,0
0,2,9290,0
2,0,9290,1
1,2,18737,0
2,1,18737,1
1,0,13529,1
0,1,13529,0
1,0,16131,1
0,1,16131,0
2,1,14181,1
1,2,14181,0
4,1,13028,1
1,4,13028,0
3,2,9837,1
2,3,9837,0
0,1,14055,0
1,0,14055,1
4,1,10285,1
1,4,10285,0
0,2,11519,0
2,0,11519,1
2,1,11387,1
1,2,11387,0
3,2,54657,1
2,3,54657,0
0,2,12177,0
2,0,12177,1
0,1,7854,0
1,0,7854,1
3,2,13808,1
2,3,13808,0
1,0,10624,1
0,1,10624,0
2,3,10797,0
3,2,10797,1
1,2,54405,0
2,1,54405,1
2,3,14215,0
3,2,14215,1
2,3,52612,0
3,2,52612,1
7,2,11488,1
2,7,11488,0
4,2,12041,1
2,4,12041,0
1,3,20854,0
3,1,20854,1
2,1,18239,1
1,2,18239,0
1,2,15268,0
2,1,15268,1
2,1,9157,1
1,2,9157,0
3,0,27475,1
0,3,27475,0
0,2,14128,0
2,0,14128,1
2,0,48640,1
0,2,48640,0
0,1,14337,0
1,0,14337,1
2,1,11981,1
1,2,11981,0
3,2,51291,1
2,3,51291,0
2,1,10130,1
1,2,10130,0
3,2,19798,1
2,3,19798,0
0,5,27052,0
5,0,27052,1
1,0,17806,1
0,1,17806,0
3,0,15198,1
0,3,15198,0
1,0,13842,1
0,1,13842,0
3,2,13734,1
2,3,13734,0
1,0,12214,1
0,1,12214,0
1,4,13971,0
4,1,13971,1
0,2,13739,0
2,0,13739,1
4,1,9408,1
1,4,9408,0
3,2,13142,1
2,3,13142,0
0,2,9597,0
2,0,9597,1
2,0,42161,1
0,2,42161,0
1,0,50187,1
0,1,50187,0
1,3,10308,0
3,1,10308,1
1,3,14846,0
3,1,14846,1
1,2,13929,0
2,1,13929,1
4,2,14057,1
2,4,14057,0
2,3,21307,0
3,2,21307,1
0,1,51770,0
1,0,51770,1
2,1,9652,1
1,2,9652,0
1,0,14326,1
0,1,14326,0
1,3,14861,0
3,1,14861,1
0,2,19303,0
2,0,19303,1
0,1,11716,0
1,0,11716,1
3,0,23144,1
0,3,23144,0
0,1,52028,0
1,0,52028,1
1,0,49028,1
0,1,49028,0
2,1,17789,1
1,2,17789,0
2,1,9734,1
1,2,9734,0
1,2,13472,0
2,1,13472,1
3,3,15129,1
3,3,15129,0
3,0,10575,1
0,3,10575,0
2,1,15061,1
1,2,15061,0
0,2,9393,0
2,0,9393,1
1,2,15958,0
2,1,15958,1
0,1,15540,0
1,0,15540,1
3,0,36280,1
0,3,36280,0
2,0,14906,1
0,2,14906,0
0,2,15206,0
2,0,15206,1
3,3,52218,1
3,3,52218,0
1,0,21077,1
0,1,21077,0
1,2,9826,0
2,1,9826,1
3,0,12568,1
0,3,12568,0
1,2,13343,0
2,1,13343,1
3,2,13904,1
2,3,13904,0
1,2,15843,0
2,1,15843,1
0,1,52440,0
1,0,52440,1
1,1,14785,1
1,1,14785,0
2,0,14478,1
0,2,14478,0
2,0,10595,1
0,2,10595,0
2,0,35108,1
0,2,35108,0
1,2,15502,0
2,1,15502,1
1,2,37292,0
2,1,37292,1
0,3,10005,0
3,0,10005,1
2,1,11488,1
1,2,11488,0
0,1,52228,0
1,0,52228,1
3,0,48466,1
0,3,48466,0
1,4,10571,0
4,1,10571,1
2,1,15578,1
1,2,15578,0
1,2,25488,0
2,1,25488,1
1,2,14321,0
2,1,14321,1
4,2,14756,1
2,4,14756,0
0,1,9408,0
1,0,9408,1
1,2,54656,0
2,1,54656,1
3,0,14051,1
0,3,14051,0
2,1,10591,1
1,2,10591,0
1,3,21624,0
3,1,21624,1
1,2,13416,0
2,1,13416,1
2,0,12190,1
0,2,12190,0
2,4,14832,0
4,2,14832,1
3,2,16270,1
2,3,16270,0
2,3,14764,0
3,2,14764,1
1,2,10361,0
2,1,10361,1
1,3,21829,0
3,1,21829,1
3,2,17022,1
2,3,17022,0
2,1,15129,1
1,2,15129,0
1,4,9674,0
4,1,9674,1
1,1,55014,1
1,1,55014,0
0,1,38239,0
1,0,38239,1
4,2,13054,1
2,4,13054,0
4,1,10351,1
1,4,10351,0
0,1,10516,0
1,0,10516,1
4,0,16058,1
0,4,16058,0
2,1,16671,1
1,2,16671,0
3,0,10597,1
0,3,10597,0
1,2,14773,0
2,1,14773,1
3,0,21440,1
0,3,21440,0
2,1,9822,1
1,2,9822,0
0,3,15448,0
3,0,15448,1
1,2,26972,0
2,1,26972,1
1,2,14634,0
2,1,14634,1
1,0,16547,1
0,1,16547,0
1,2,10630,0
2,1,10630,1
3,0,13639,1
0,3,13639,0
5,2,10563,1
2,5,10563,0
2,2,16153,1
2,2,16153,0
4,0,11796,1
0,4,11796,0
0,3,18478,0
3,0,18478,1
2,0,9488,1
0,2,9488,0
0,4,15592,0
4,0,15592,1
1,2,14702,0
2,1,14702,1
1,1,19209,1
1,1,19209,0
2,3,14592,0
3,2,14592,1
2,2,16041,1
2,2,16041,0
1,0,18214,1
0,1,18214,0
2,3,50375,0
3,2,50375,1
3,4,10502,0
4,3,10502,1
4,1,10629,1
1,4,10629,0
2,2,13836,1
2,2,13836,0
4,1,11782,1
1,4,11782,0
1,2,50724,0
2,1,50724,1
0,2,9367,0
2,0,9367,1
3,1,15334,1
1,3,15334,0
2,2,14441,1
2,2,14441,0
1,2,13319,0
2,1,13319,1
1,0,10701,1
0,1,10701,0
1,4,18023,0
4,1,18023,1
4,2,25096,1
2,4,25096,0
1,6,12771,0
6,1,12771,1
1,3,36270,0
3,1,36270,1
2,1,23369,1
1,2,23369,0
1,2,19034,0
2,1,19034,1
1,0,9611,1
0,1,9611,0
0,2,14736,0
2,0,14736,1
3,1,10617,1
1,3,10617,0
1,0,15947,1
0,1,15947,0
2,0,15486,1
0,2,15486,0
0,1,51390,0
1,0,51390,1
0,1,14083,0
1,0,14083,1
2,4,21753,0
4,2,21753,1
2,3,48935,0
3,2,48935,1
0,1,37306,0
1,0,37306,1
0,3,19505,0
3,0,19505,1
3,2,42505,1
2,3,42505,0
2,1,14163,1
1,2,14163,0
3,0,12971,1
0,3,12971,0
2,1,44338,1
1,2,44338,0
0,1,18887,0
1,0,18887,1
1,2,21316,0
2,1,21316,1
1,1,17487,1
1,1,17487,0
5,1,18382,1
1,5,18382,0
2,1,10641,1
1,2,10641,0
1,4,9230,0
4,1,9230,1
0,1,13307,0
1,0,13307,1
2,1,13652,1
1,2,13652,0
1,2,15638,0
2,1,15638,1
0,1,16875,0
1,0,16875,1
3,1,14256,1
1,3,14256,0
2,1,20077,1
1,2,20077,0
0,0,19060,1
0,0,19060,0
2,0,15661,1
0,2,15661,0
2,3,14085,0
3,2,14085,1
0,0,13970,1
0,0,13970,0
3,1,24157,1
1,3,24157,0
1,3,55125,0
3,1,55125,1
3,1,15523,1
1,3,15523,0
1,0,19429,1
0,1,19429,0
1,0,14508,1
0,1,14508,0
1,2,13448,0
2,1,13448,1
5,4,19001,1
4,5,19001,0
4,1,19137,1
1,4,19137,0
1,1,8898,1
1,1,8898,0
2,1,10640,1
1,2,10640,0
0,3,23258,0
3,0,23258,1
2,1,15200,1
1,2,15200,0
3,2,10915,1
2,3,10915,0
3,1,49650,1
1,3,49650,0
5,3,17330,1
3,5,17330,0
2,1,15216,1
1,2,15216,0
2,1,15078,1
1,2,15078,0
0,2,49243,0
2,0,49243,1
2,1,14635,1
1,2,14635,0
0,3,24817,0
3,0,24817,1
1,0,15903,1
0,1,15903,0
3,1,18160,1
1,3,18160,0
1,1,34849,1
1,1,34849,0
0,2,12241,0
2,0,12241,1
0,1,15106,0
1,0,15106,1
4,1,15094,1
1,4,15094,0
1,2,14564,0
2,1,14564,1
1,1,9885,1
1,1,9885,0
5,1,51166,1
1,5,51166,0
0,4,23899,0
4,0,23899,1
1,3,14472,0
3,1,14472,1
1,3,48157,0
3,1,48157,1
4,1,18318,1
1,4,18318,0
1,3,14975,0
3,1,14975,1
2,4,30621,0
4,2,30621,1
3,0,15122,1
0,3,15122,0
3,1,9901,1
1,3,9901,0
3,2,48677,1
2,3,48677,0
3,3,15608,1
3,3,15608,0
0,1,15554,0
1,0,15554,1
2,1,15377,1
1,2,15377,0
1,2,15603,0
2,1,15603,1
3,0,13890,1
0,3,13890,0
2,0,23195,1
0,2,23195,0
1,0,14331,1
0,1,14331,0
2,1,17105,1
1,2,17105,0
2,1,15547,1
1,2,15547,0
1,6,23072,0
6,1,23072,1
2,1,19002,1
1,2,19002,0
2,0,15013,1
0,2,15013,0
1,0,15357,1
0,1,15357,0
0,2,13269,0
2,0,13269,1
1,3,19778,0
3,1,19778,1
2,4,9962,0
4,2,9962,1
0,1,12821,0
1,0,12821,1
1,0,15604,1
0,1,15604,0
0,2,23774,0
2,0,23774,1
1,0,11765,1
0,1,11765,0
2,0,15533,1
0,2,15533,0
2,0,13102,1
0,2,13102,0
1,0,17090,1
0,1,17090,0
3,1,15457,1
1,3,15457,0
2,0,14106,1
0,2,14106,0
2,1,52480,1
1,2,52480,0
0,0,8523,1
0,0,8523,0
3,2,15346,1
2,3,15346,0
2,1,15621,1
1,2,15621,0
0,2,13714,0
2,0,13714,1
1,0,21506,1
0,1,21506,0
3,6,22838,0
6,3,22838,1
1,2,18417,0
2,1,18417,1
3,1,14007,1
1,3,14007,0
1,0,13637,1
0,1,13637,0
1,0,12236,1
0,1,12236,0
3,2,18017,1
2,3,18017,0
3,4,15584,0
4,3,15584,1
0,1,14175,0
1,0,14175,1
0,0,48103,1
0,0,48103,0
2,1,16078,1
1,2,16078,0
5,0,7421,1
0,5,7421,0
1,0,9704,1
0,1,9704,0
6,2,13033,1
2,6,13033,0
0,1,42994,0
1,0,42994,1
0,3,13305,0
3,0,13305,1
2,2,9239,1
2,2,9239,0
2,0,13356,1
0,2,13356,0
2,0,15144,1
0,2,15144,0
2,3,11895,0
3,2,11895,1
0,1,36039,0
1,0,36039,1
2,6,20660,0
6,2,20660,1
0,1,16308,0
1,0,16308,1
0,1,22349,0
1,0,22349,1
3,5,11540,0
5,3,11540,1
4,2,18118,1
2,4,18118,0
3,4,10993,0
4,3,10993,1
2,1,15114,1
1,2,15114,0
3,2,11978,1
2,3,11978,0
0,0,44464,1
0,0,44464,0
2,0,17333,1
0,2,17333,0
1,2,10481,0
2,1,10481,1
2,0,17621,1
0,2,17621,0
0,1,20509,0
1,0,20509,1
4,0,17749,1
0,4,17749,0
0,1,50820,0
1,0,50820,1
1,0,14079,1
0,1,14079,0
2,0,15335,1
0,2,15335,0
0,3,11332,0
3,0,11332,1
1,4,18819,0
4,1,18819,1
0,1,9630,0
1,0,9630,1
1,2,17813,0
2,1,17813,1
0,1,13753,0
1,0,13753,1
3,1,13228,1
1,3,13228,0
0,1,44650,0
1,0,44650,1
2,4,14450,0
4,2,14450,1
2,0,13254,1
0,2,13254,0
2,0,14630,1
0,2,14630,0
1,2,11266,0
2,1,11266,1
0,1,11763,0
1,0,11763,1
2,3,18409,0
3,2,18409,1
1,0,15825,1
0,1,15825,0
1,3,18036,0
3,1,18036,1
1,2,9346,0
2,1,9346,1
3,1,15195,1
1,3,15195,0
4,0,7012,1
0,4,7012,0
2,3,48710,0
3,2,48710,1
0,1,13789,0
1,0,13789,1
4,1,14940,1
1,4,14940,0
4,0,9759,1
0,4,9759,0
2,3,12257,0
3,2,12257,1
1,3,17769,0
3,1,17769,1
1,0,13512,1
0,1,13512,0
2,0,20548,1
0,2,20548,0
1,0,18542,1
0,1,18542,0
0,2,44152,0
2,0,44152,1
0,3,10558,0
3,0,10558,1
1,2,13413,0
2,1,13413,1
1,1,12387,1
1,1,12387,0
4,0,15273,1
0,4,15273,0
4,0,12393,1
0,4,12393,0
2,3,18432,0
3,2,18432,1
1,0,12713,1
0,1,12713,0
0,1,17357,0
1,0,17357,1
1,0,51725,1
0,1,51725,0
3,4,11757,0
4,3,11757,1
2,3,11337,0
3,2,11337,1
4,3,21557,1
3,4,21557,0
3,2,12236,1
2,3,12236,0
2,3,9739,0
3,2,9739,1
2,2,9495,1
2,2,9495,0
4,3,13381,1
3,4,13381,0
1,2,13109,0
2,1,13109,1
1,0,15962,1
0,1,15962,0
3,2,14201,1
2,3,14201,0
1,4,18322,0
4,1,18322,1
0,1,10237,0
1,0,10237,1
2,1,18230,1
1,2,18230,0
7,0,15709,1
0,7,15709,0
2,0,13897,1
0,2,13897,0
2,2,20293,1
2,2,20293,0
1,0,13057,1
0,1,13057,0
2,2,56652,1
2,2,56652,0
1,2,14723,0
2,1,14723,1
1,5,11608,0
5,1,11608,1
6,0,20775,1
0,6,20775,0
5,1,17815,1
1,5,17815,0
0,1,52149,0
1,0,52149,1
4,0,15816,1
0,4,15816,0
1,0,18511,1
0,1,18511,0
2,3,14789,0
3,2,14789,1
1,0,14291,1
0,1,14291,0
3,4,11824,0
4,3,11824,1
4,2,9589,1
2,4,9589,0
0,1,46294,0
1,0,46294,1
0,0,13817,1
0,0,13817,0
1,1,11497,1
1,1,11497,0
3,0,13143,1
0,3,13143,0
2,1,15807,1
1,2,15807,0
3,1,18041,1
1,3,18041,0
0,1,11994,0
1,0,11994,1
2,2,36770,1
2,2,36770,0
2,4,15119,0
4,2,15119,1
0,1,15813,0
1,0,15813,1
3,1,13119,1
1,3,13119,0
1,2,15284,0
2,1,15284,1
2,1,14122,1
1,2,14122,0
3,4,14163,0
4,3,14163,1
0,3,13314,0
3,0,13314,1
3,1,13145,1
1,3,13145,0
0,4,18776,0
4,0,18776,1
0,0,13748,1
0,0,13748,0
0,1,11388,0
1,0,11388,1
3,2,13505,1
2,3,13505,0
1,0,8667,1
0,1,8667,0
3,1,13673,1
1,3,13673,0
1,1,18545,1
1,1,18545,0
2,3,15263,0
3,2,15263,1
3,6,13703,0
6,3,13703,1
4,1,10554,1
1,4,10554,0
1,3,14811,0
3,1,14811,1
2,0,9912,1
0,2,9912,0
3,0,14276,1
0,3,14276,0
3,2,24071,1
2,3,24071,0
3,1,13602,1
1,3,13602,0
6,1,13789,1
1,6,13789,0
2,1,19616,1
1,2,19616,0
4,5,15752,0
5,4,15752,1
3,2,17218,1
2,3,17218,0
2,1,9924,1
1,2,9924,0
0,1,24521,0
1,0,24521,1
2,1,14065,1
1,2,14065,0
1,5,11905,0
5,1,11905,1
3,1,16211,1
1,3,16211,0
1,2,12329,0
2,1,12329,1
0,3,12767,0
3,0,12767,1
1,2,18917,0
2,1,18917,1
5,3,13242,1
3,5,13242,0
2,1,18746,1
1,2,18746,0
2,2,12696,1
2,2,12696,0
2,0,21794,1
0,2,21794,0
3,2,11560,1
2,3,11560,0
3,2,9168,1
2,3,9168,0
3,2,13683,1
2,3,13683,0
1,0,11469,1
0,1,11469,0
0,1,19486,0
1,0,19486,1
2,1,19069,1
1,2,19069,0
2,1,12035,1
1,2,12035,0
1,0,9699,1
0,1,9699,0
2,3,18643,0
3,2,18643,1
2,2,11597,1
2,2,11597,0
1,4,10148,0
4,1,10148,1
1,0,8174,1
0,1,8174,0
1,2,15401,0
2,1,15401,1
3,0,14905,1
0,3,14905,0
2,1,11139,1
1,2,11139,0
2,1,10019,1
1,2,10019,0
4,0,15449,1
0,4,15449,0
0,5,17883,0
5,0,17883,1
1,2,12708,0
2,1,12708,1
0,1,18961,0
1,0,18961,1
2,1,12761,1
1,2,12761,0
1,0,17565,1
0,1,17565,0
1,0,8308,1
0,1,8308,0
2,1,15687,1
1,2,15687,0
0,5,13865,0
5,0,13865,1
2,1,12900,1
1,2,12900,0
2,1,21047,1
1,2,21047,0
3,1,13416,1
1,3,13416,0
3,0,17703,1
0,3,17703,0
3,1,10394,1
1,3,10394,0
3,0,21816,1
0,3,21816,0
2,2,10354,1
2,2,10354,0
1,0,14127,1
0,1,14127,0
2,3,16082,0
3,2,16082,1
2,1,9518,1
1,2,9518,0
0,1,20117,0
1,0,20117,1
0,2,16162,0
2,0,16162,1
0,6,11954,0
6,0,11954,1
4,0,22573,1
